Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLSVV0010_O_AA,X,998.52,,,,,,
NLSVV0010_O_AA,Y,-551.01,,,,,,
NLSVV0010_O_AA,Z,1051.14,-1.13,1.13,-2.26,2.26,-3.39,3.39
NLSVV0007_O_AA,X,445.26,-0.57,0.57,-1.14,1.14,-1.71,1.71
NLSVV0007_O_AA,Y,-697.8,-0.39,0.39,-0.78,0.78,-1.18,1.18
NLSVV0007_O_AA,Z,744.48,-0.98,0.98,-1.96,1.96,-2.94,2.94
NRSAV0001_R_HA,X,414,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSAV0001_R_HA,Y,778.55,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSAV0001_R_HA,Z,449.82,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSSL0006_L_AA,X,655.78,,,,,,
NRSSL0006_L_AA,Y,733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSSL0006_L_AA,Z,85.58,,,,,,
NRSSL0008_L_AA,X,1130.17,,,,,,
NRSSL0008_L_AA,Y,733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSSL0008_L_AA,Z,85.58,,,,,,
NRSSL0009_L_AA,X,1698.1,,,,,,
NRSSL0009_L_AA,Y,733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSSL0009_L_AA,Z,87.57,,,,,,
NRSHA0003_L_AA,X,2081.59,,,,,,
NRSHA0003_L_AA,Y,733.21,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSHA0003_L_AA,Z,171.11,,,,,,
NRSHU0002_L_AA,X,2198.54,,,,,,
NRSHU0002_L_AA,Y,723.92,-1.19,1.19,-2.38,2.38,-3.58,3.58
NRSHU0002_L_AA,Z,318.06,,,,,,
NRSHI0007_L_AA,X,2490.74,,,,,,
NRSHI0007_L_AA,Y,661.24,-1.16,1.16,-2.32,2.32,-3.48,3.48
NRSHI0007_L_AA,Z,741.94,,,,,,
NRSVV0001_R_DG,X,1750.49,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVV0001_R_DG,Y,575.06,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVV0001_R_DG,Z,1114.74,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSCV0001_R_CA,X,2540.68,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSCV0001_R_CA,Y,612.97,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSCV0001_R_CA,Z,980.99,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSHI0002_L_IG,X,3015,-1,1,-2,2,-3,3
NRSHI0002_L_IG,Y,641,-1,1,-2,2,-3,3
NRSHI0002_L_IG,Z,691,-1,1,-2,2,-3,3
NRSHI0009_U_AA,X,3049.96,-0.43,0.43,-0.86,0.86,-1.28,1.28
NRSHI0009_U_AA,Y,588.61,,,,,,
NRSHI0009_U_AA,Z,822.82,-1.08,1.08,-2.16,2.16,-3.25,3.25
NRRVO0001_U_CA,X,-315.5,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRVO0001_U_CA,Y,729,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRVO0001_U_CA,Z,498.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRVO0005_L_DG,X,-287.75,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRVO0005_L_DG,Y,763.84,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRVO0005_L_DG,Z,460,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRWH0007_O_BA,X,3207.34,,,,,,
NRRWH0007_O_BA,Y,425.64,,,,,,
NRRWH0007_O_BA,Z,760.69,-1.19,1.19,-2.38,2.38,-3.57,3.57
NRSHR0013_L_AA,X,2596.86,,,,,,
NRSHR0013_L_AA,Y,872.36,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSHR0013_L_AA,Z,410.89,,,,,,
NRSHR0015_L_AA,X,2945.54,,,,,,
NRSHR0015_L_AA,Y,821.96,-1.19,1.19,-2.38,2.38,-3.58,3.58
NRSHR0015_L_AA,Z,237.84,,,,,,
NRSHR0012_L_AA,X,2211.94,,,,,,
NRSHR0012_L_AA,Y,840.87,-1.18,1.18,-2.36,2.36,-3.56,3.56
NRSHR0012_L_AA,Z,-21.42,,,,,,
NRDAF0006_U_BA,X,967.9,-1,1,-2,2,-3,3
NRDAF0006_U_BA,Y,515.68,-1,1,-2,2,-3,3
NRDAF0006_U_BA,Z,1043.66,-1,1,-2,2,-3,3
NRDAF0001_U_CA,X,1000,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRDAF0001_U_CA,Y,330,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRDAF0001_U_CA,Z,1053.47,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRDAH0005_U_BA,X,2342.76,,,,,,
NRDAH0005_U_BA,Y,454.03,,,,,,
NRDAH0005_U_BA,Z,1097.14,-1.16,1.16,-2.32,2.32,-3.48,3.48
NRDAH0001_U_CA,X,2444,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRDAH0001_U_CA,Y,415,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRDAH0001_U_CA,Z,1061.87,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSAV0003_R_LE,X,399.3,-1.5,1.5,-3,3,-4.5,4.5
NRSAV0003_R_LE,Y,781.29,-1.5,1.5,-3,3,-4.5,4.5
NRSAV0003_R_LE,Z,513.81,-1.5,1.5,-3,3,-4.5,4.5
NRSAV0004_R_LE,X,399.3,-1.5,1.5,-3,3,-4.5,4.5
NRSAV0004_R_LE,Y,797.67,-1.5,1.5,-3,3,-4.5,4.5
NRSAV0004_R_LE,Z,138.17,-1.5,1.5,-3,3,-4.5,4.5
NLSSL0006_R_AA,X,655.78,,,,,,
NLSSL0006_R_AA,Y,-733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSSL0006_R_AA,Z,85.58,,,,,,
NLSSL0008_R_AA,X,1130.17,,,,,,
NLSSL0008_R_AA,Y,-733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSSL0008_R_AA,Z,85.58,,,,,,
NLSSL0009_R_AA,X,1698.1,,,,,,
NLSSL0009_R_AA,Y,-733.1,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSSL0009_R_AA,Z,87.57,,,,,,
NLSVV0002_L_AA,X,600.22,,,,,,
NLSVV0002_L_AA,Y,-678.54,-1.12,1.12,-2.24,2.24,-3.36,3.36
NLSVV0002_L_AA,Z,772.32,-0.43,0.43,-0.86,0.86,-1.29,1.29
NLSVV0004_L_AA,X,960.44,,,,,,
NLSVV0004_L_AA,Y,-599.78,-1.05,1.05,-2.1,2.1,-3.16,3.16
NLSVV0004_L_AA,Z,963.64,-0.57,0.57,-1.14,1.14,-1.72,1.72
NLSVV0006_L_AA,X,1399.59,,,,,,
NLSVV0006_L_AA,Y,-557.46,-1.02,1.02,-2.04,2.04,-3.07,3.07
NLSVV0006_L_AA,Z,1047.62,-0.63,0.63,-1.26,1.26,-1.88,1.88
NLSDJ0008_O_AA,X,2489.71,-0.36,0.36,-0.72,0.72,-1.09,1.09
NLSDJ0008_O_AA,Y,-549.82,,,,,,
NLSDJ0008_O_AA,Z,1033.91,-1.12,1.12,-2.24,2.24,-3.37,3.37
NLSDJ0007_O_AA,X,2190.87,,,,,,
NLSDJ0007_O_AA,Y,-505.96,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSDJ0007_O_AA,Z,1103.68,-1.15,1.15,-2.3,2.3,-3.44,3.44
NLSDJ0005_O_AA,X,1956.76,,,,,,
NLSDJ0005_O_AA,Y,-503.76,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSDJ0005_O_AA,Z,1124.68,-1.16,1.16,-2.32,2.32,-3.47,3.47
NLSVV0013_O_AA,X,1621.68,,,,,,
NLSVV0013_O_AA,Y,-507.56,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSVV0013_O_AA,Z,1128.58,-1.16,1.16,-2.32,2.32,-3.48,3.48
MLRWH0033_OFBA,X,3155.79,-0.44,0.44,-0.88,0.88,-1.34,1.34
MLRWH0033_OFBA,Y,-520.5,,,,,,
MLRWH0033_OFBA,Z,797.08,-1.1,1.1,-2.2,2.2,-3.29,3.29
MLRWH0032_HEBA,X,3163.41,-1.14,1.14,-2.28,2.28,-3.41,3.41
MLRWH0032_HEBA,Y,-522.28,-0.36,0.36,-0.72,0.72,-1.09,1.09
MLRWH0032_HEBA,Z,786.49,,,,,,
MRRWH0033_OFBA,X,3155.79,-0.44,0.44,-0.88,0.88,-1.34,1.34
