Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLSTS0063_O_AA,969.7,-0.44,0.44,-0.88,0.88,-1.31,1.31
NLSTS0063_O_AA,-553.19,,,,,,
NLSTS0063_O_AA,1040.85,-1.11,1.11,-2.22,2.22,-3.32,3.32
NLSTS0067_ORAA,998.13,-0.37,0.37,-0.74,0.74,-1.11,1.11
NLSTS0067_ORAA,-550.16,,,,,,
NLSTS0067_ORAA,1051.86,-1.13,1.13,-2.26,2.26,-3.39,3.39
NLSTS0071_ORAA,1235.72,,,,,,
NLSTS0071_ORAA,-525.03,,,,,,
NLSTS0071_ORAA,1103.17,-1.15,1.15,-2.3,2.3,-3.46,3.46
NLSTS0074_ORAA,1523.45,,,,,,
NLSTS0074_ORAA,-511.17,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSTS0074_ORAA,1126.03,-1.16,1.16,-2.32,2.32,-3.48,3.48
124L-124R-DY,0,,,,,,
124L-124R-DY,1216.16,-0.4,1.6,-0.8,3.2,-1.8,4.2
124L-124R-DY,0,,,,,,
112L-112R-DY,0,,,,,,
112L-112R-DY,1228,-0.4,1.6,-0.8,3.2,-1.8,4.2
112L-112R-DY,0,,,,,,
110L-110R-DY,0,,,,,,
110L-110R-DY,1232.94,-0.4,1.6,-0.8,3.2,-1.8,4.2
110L-110R-DY,0,,,,,,
104L-104R-DY,0,,,,,,
104L-104R-DY,1262.24,-0.4,1.6,-0.8,3.2,-1.8,4.2
104L-104R-DY,0,,,,,,
NLSTS0123_H_BA,3507.78,-0.94,0.94,-1.88,1.88,-2.82,2.82
NLSTS0123_H_BA,-611.28,-0.58,0.58,-1.16,1.16,-1.73,1.73
NLSTS0123_H_BA,667.74,-0.47,0.47,-0.94,0.94,-1.42,1.42
NLSTS0111_O_BA,3480.26,-0.7,0.7,-1.4,1.4,-2.09,2.09
