Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MLLVS1001_HDEG,X,-647.5,-1.2,1.2,-2.4,2.4,-3.6,3.6
MLLVS1001_HDEG,Y,-488,-1.2,1.2,-2.4,2.4,-3.6,3.6
MLLVS1001_HDEG,Z,289.5,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSHI0846_L_DG,X,2681.37,-0.15,0.15,-0.2,0.2,-0.6,0.6
NRSHI0846_L_DG,Y,581.63,-0.15,0.15,-0.2,0.2,-0.6,0.6
NRSHI0846_L_DG,Z,942.61,-0.15,0.15,-0.2,0.2,-0.6,0.6
NRSTS0189_U_BA,X,1398.36,,,,,,
NRSTS0189_U_BA,Y,598.78,,,,,,
NRSTS0189_U_BA,Z,1086.66,-0.96,0.96,-1.01,1.01,-3.05,3.05
NLSLA9052_H_LE,X,3449.3,-1,1,-2,2,-3,3
NLSLA9052_H_LE,Y,-617.81,-1,1,-2,2,-3,3
NLSLA9052_H_LE,Z,470,-1,1,-2,2,-3,3
RPS1_ALN2,X,-482.02,-0.15,0.15,-0.2,0.2,-0.6,0.6
RPS1_ALN2,Y,524.92,-0.15,0.15,-0.2,0.2,-0.6,0.6
RPS1_ALN2,Z,212.86,-0.15,0.15,-0.2,0.2,-0.6,0.6
NLSTD0017_L_BA,X,3322.92,,,,,,
NLSTD0017_L_BA,Y,-585.13,-1.19,1.19,-2.38,2.38,-3.57,3.57
NLSTD0017_L_BA,Z,731.7,,,,,,
NLSTS0206_U_BA,X,2052.55,,,,,,
NLSTS0206_U_BA,Y,-596.78,,,,,,
NLSTS0206_U_BA,Z,1076.66,-1.03,1.03,-2.06,2.06,-3.1,3.1
MRHOT2001_O_DG,X,2681.2,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRHOT2001_O_DG,Y,0,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRHOT2001_O_DG,Z,758,-0.8,0.8,-1.6,1.6,-2.4,2.4
NRSTS0221_O_BA,X,2540.7,,,,,,
NRSTS0221_O_BA,Y,781.78,-0.64,0.64,-1.28,1.28,-1.91,1.91
NRSTS0221_O_BA,Z,697.82,-1.02,1.02,-2.04,2.04,-3.05,3.05
PP_L_2,X,3557.05,-0.5,0.5,-1,1,-1.5,1.5
PP_L_2,Y,-378.93,,,,,,
PP_L_2,Z,282.23,,,,,,
NLSTS0304_H_CA,X,3281.63,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0304_H_CA,Y,-726.3,-1.2,1.2,-2.4,2.4,-3.6,3.6
