Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLRVO0001_U_CA,X,-315.5,-1,1,-2,2,-3,3
NLRVO0001_U_CA,Y,-729,-1,1,-2,2,-3,3
NLRVO0001_U_CA,Z,498.1,-1,1,-2,2,-3,3
NLSBW0013_L_AA,X,1324.92,,,,,,
NLSBW0013_L_AA,Y,-734.17,-1,1,-2,2,-3,3
NLSBW0013_L_AA,Z,206.05,,,,,,
NLSDJ0004_L_AA,X,2306.62,,,,,,
NLSDJ0004_L_AA,Y,-577.76,-0.89,0.89,-1.78,1.78,-2.67,2.67
NLSDJ0004_L_AA,Z,981.68,,,,,,
NLSSL0006_R_AA,X,655.78,,,,,,
NLSSL0006_R_AA,Y,-733.1,-1,1,-2,2,-3,3
NLSSL0006_R_AA,Z,85.58,,,,,,
NLSVO0003_R_EG,X,855.41,-1,1,-2,2,-3,3
NLSVO0003_R_EG,Y,-611.83,-1,1,-2,2,-3,3
NLSVO0003_R_EG,Z,949.04,-1,1,-2,2,-3,3
NLSVV0004_L_AA,X,960.44,,,,,,
NLSVV0004_L_AA,Y,-599.78,-0.88,0.88,-1.76,1.76,-2.63,2.63
NLSVV0004_L_AA,Z,963.64,,,,,,
NLSVV0006_L_AA,X,1399.59,,,,,,
NLSVV0006_L_AA,Y,-557.46,-0.85,0.85,-1.7,1.7,-2.56,2.56
NLSVV0006_L_AA,Z,1047.62,,,,,,
NLSVV0012_O_AA,X,1523.45,,,,,,
NLSVV0012_O_AA,Y,-510.42,,,,,,
NLSVV0012_O_AA,Z,1125.51,-0.96,0.96,-1.92,1.92,-2.9,2.9
NLSVV0016_L_AA,X,1749.84,,,,,,
NLSVV0016_L_AA,Y,-551.06,-0.86,0.86,-1.72,1.72,-2.57,2.57
NLSVV0016_L_AA,Z,1055.97,,,,,,
NLSDJ0012_O_AA,X,2470.68,,,,,,
NLSDJ0012_O_AA,Y,-442.02,,,,,,
NLSDJ0012_O_AA,Z,1056.06,-0.95,0.95,-1.9,1.9,-2.84,2.84
NLSHA0001_R_CA,X,2160.35,-1,1,-2,2,-3,3
NLSHA0001_R_CA,Y,-786,-1,1,-2,2,-3,3
NLSHA0001_R_CA,Z,90.77,-1,1,-2,2,-3,3
NLSHI0001_R_HA,X,2472,-1,1,-2,2,-3,3
NLSHI0001_R_HA,Y,-677,-1,1,-2,2,-3,3
NLSHI0001_R_HA,Z,642,-1,1,-2,2,-3,3
NLSHI0005_L_AA,X,2315,,,,,,
NLSHI0005_L_AA,Y,-537.5,-0.89,0.89,-1.78,1.78,-2.67,2.67
NLSHI0005_L_AA,Z,1054,,,,,,
NLSHI0009_U_AA,X,3049.96,,,,,,
NLSHI0009_U_AA,Y,-588.61,,,,,,
NLSHI0009_U_AA,Z,822.82,-0.9,0.9,-1.8,1.8,-2.71,2.71
NLSHR0001_R_CA,X,2885.83,-1,1,-2,2,-3,3
NLSHR0001_R_CA,Y,-667.28,-1,1,-2,2,-3,3
NLSHR0001_R_CA,Z,442.2,-1,1,-2,2,-3,3
NLSHU0004_R_CA,X,2358.54,-1,1,-2,2,-3,3
NLSHU0004_R_CA,Y,-686.84,-1,1,-2,2,-3,3
NLSHU0004_R_CA,Z,504.66,-1,1,-2,2,-3,3
NLSVH0002_R_DG,X,2051.1,-1,1,-2,2,-3,3
NLSVH0002_R_DG,Y,-532.84,-1,1,-2,2,-3,3
NLSVH0002_R_DG,Z,1072.37,-1,1,-2,2,-3,3
NLBII0001_L_LE,X,1581.66,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLBII0001_L_LE,Y,-610.44,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLBII0001_L_LE,Z,960.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLBIP0001_L_CA,X,1446.04,-1,1,-2,2,-3,3
NLBIP0001_L_CA,Y,-698.9,-1,1,-2,2,-3,3
NLBIP0001_L_CA,Z,145.83,-1,1,-2,2,-3,3
NLRVO0004_R_CA,X,254,-1,1,-2,2,-3,3
NLRVO0004_R_CA,Y,-778.5,-1,1,-2,2,-3,3
NLRVO0004_R_CA,Z,434,-1,1,-2,2,-3,3
NLRVO0005_R_DG,X,-287.75,-1,1,-2,2,-3,3
NLRVO0005_R_DG,Y,-763.84,-1,1,-2,2,-3,3
NLRVO0005_R_DG,Z,460,-1,1,-2,2,-3,3
NLSAV0002_L_IG,X,427,-1,1,-2,2,-3,3
NLSAV0002_L_IG,Y,-795.53,-1,1,-2,2,-3,3
NLSAV0002_L_IG,Z,67,-1,1,-2,2,-3,3
NLSAV0003_L_LE,X,399.3,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSAV0003_L_LE,Y,-781.29,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSAV0003_L_LE,Z,513.81,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSAV0004_L_LE,X,399.3,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSAV0004_L_LE,Y,-797.67,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSAV0004_L_LE,Z,138.17,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSBW0001_L_CA,X,1423,-1,1,-2,2,-3,3
NLSBW0001_L_CA,Y,-800,-1,1,-2,2,-3,3
NLSBW0001_L_CA,Z,152,-1,1,-2,2,-3,3
NLSBW0004_L_LE,X,1476,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSBW0004_L_LE,Y,-802.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSBW0004_L_LE,Z,206.02,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSHM0002_V_AA,X,229.42,-0.99,0.99,-1.98,1.98,-2.96,2.96
NLSHM0002_V_AA,Y,-728.7,,,,,,
NLSHM0002_V_AA,Z,370.77,,,,,,
NLSSL0002_R_DG,X,721.05,-1,1,-2,2,-3,3
NLSSL0002_R_DG,Y,-800.06,-1,1,-2,2,-3,3
NLSSL0002_R_DG,Z,28.04,-1,1,-2,2,-3,3
NLSVO0001_R_CA,X,595.2,-1,1,-2,2,-3,3
NLSVO0001_R_CA,Y,-671.2,-1,1,-2,2,-3,3
NLSVO0001_R_CA,Z,809.35,-1,1,-2,2,-3,3
NLSVS0006_O_BA,X,964.84,-0.58,0.58,-1.16,1.16,-3,3
NLSVS0006_O_BA,Y,-441.72,,,,,,
NLSVS0006_O_BA,Z,1046.17,-0.81,0.81,-1.62,1.62,-4,4
NLSVS0007_O_BA,X,965.62,,,,,,
NLSVS0007_O_BA,Y,-516.12,,,,,,
NLSVS0007_O_BA,Z,1042.7,-0.92,0.92,-1.84,1.84,-2.77,2.77
NLSVS0014_O_BA,X,1052.76,,,,,,
NLSVS0014_O_BA,Y,-427.85,,,,,,
NLSVS0014_O_BA,Z,1090.77,-0.96,0.96,-1.92,1.92,-4,4
NLSBW0002_L_DG,X,1583.42,-1,1,-2,2,-3,3
NLSBW0002_L_DG,Y,-585.67,-1,1,-2,2,-3,3
NLSBW0002_L_DG,Z,1031.3,-1,1,-2,2,-3,3
NLSHI0833_R_CA,X,2530.31,-0.2,0.2,-0.4,0.4,-0.6,0.6
NLSHI0833_R_CA,Y,-567.8,-0.2,0.2,-0.4,0.4,-0.6,0.6
NLSHI0833_R_CA,Z,996.69,-0.2,0.2,-0.4,0.4,-0.6,0.6
NLSHI0846_R_DG,X,2681.37,-0.5,0.5,-1,1,-1.5,1.5
NLSHI0846_R_DG,Y,-581.63,-0.5,0.5,-1,1,-1.5,1.5
NLSHI0846_R_DG,Z,942.61,-0.5,0.5,-1,1,-1.5,1.5
NLSHI0850_R_DG,X,2848.36,-0.5,0.5,-1,1,-1.5,1.5
NLSHI0850_R_DG,Y,-589.74,-0.5,0.5,-1,1,-1.5,1.5
NLSHI0850_R_DG,Z,885.21,-0.5,0.5,-1,1,-1.5,1.5
0001-0003DY-DZ,Y,59.37,,,,,,
0001-0003DY-DZ,Z,139.69,,,,,,
NLSCV0001_L_CA,X,2540.68,-1,1,-2,2,-3,3
NLSCV0001_L_CA,Y,-612.97,-1,1,-2,2,-3,3
NLSCV0001_L_CA,Z,980.99,-1,1,-2,2,-3,3
NLSCV0002_L_DG,X,2705.82,-1,1,-2,2,-3,3
NLSCV0002_L_DG,Y,-615.35,-1,1,-2,2,-3,3
NLSCV0002_L_DG,Z,929.24,-1,1,-2,2,-3,3
NLSDJ0010_O_BA,X,2342.99,-1,1,-2,2,-2,2
NLSDJ0010_O_BA,Y,-433.87,-1,1,-2,2,-2,2
NLSDJ0010_O_BA,Z,1099.42,-0.97,0.97,-1.94,1.94,-2.91,2.91
