Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRRVO0001_U_CA,X,-315.5,-1,1,-2,2,-3,3
NRRVO0001_U_CA,Y,729,-1,1,-2,2,-3,3
NRRVO0001_U_CA,Z,498.1,-1,1,-2,2,-3,3
NRSBW0013_R_AA,X,1324.92,,,,,,
NRSBW0013_R_AA,Y,734.17,-1,1,-2,2,-3,3
NRSBW0013_R_AA,Z,206.05,,,,,,
NRSDJ0004_R_AA,X,2306.62,,,,,,
NRSDJ0004_R_AA,Y,577.76,-0.89,0.89,-1.78,1.78,-2.67,2.67
NRSDJ0004_R_AA,Z,981.68,,,,,,
NRSSL0006_L_AA,X,655.78,,,,,,
NRSSL0006_L_AA,Y,733.1,-1,1,-2,2,-3,3
NRSSL0006_L_AA,Z,85.58,,,,,,
NRSVO0003_L_EG,X,855.41,-1,1,-2,2,-3,3
NRSVO0003_L_EG,Y,611.83,-1,1,-2,2,-3,3
NRSVO0003_L_EG,Z,949.04,-1,1,-2,2,-3,3
NRSVV0004_R_AA,X,960.44,,,,,,
NRSVV0004_R_AA,Y,599.78,-0.88,0.88,-1.76,1.76,-2.63,2.63
NRSVV0004_R_AA,Z,963.64,,,,,,
NRSVV0006_R_AA,X,1399.59,,,,,,
NRSVV0006_R_AA,Y,557.46,-0.85,0.85,-1.7,1.7,-2.56,2.56
NRSVV0006_R_AA,Z,1047.62,,,,,,
NRSVV0012_O_AA,X,1523.45,,,,,,
NRSVV0012_O_AA,Y,510.42,,,,,,
NRSVV0012_O_AA,Z,1125.51,-0.96,0.96,-1.92,1.92,-2.9,2.9
NRSVV0016_R_AA,X,1749.84,,,,,,
NRSVV0016_R_AA,Y,551.06,-0.86,0.86,-1.72,1.72,-2.57,2.57
NRSVV0016_R_AA,Z,1055.97,-0.52,0.52,-1.04,1.04,-1.55,1.55
