Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MLLVV1226_ODLE,X,-335,,,,,,
MLLVV1226_ODLE,Y,-484.88,-15,15,-30,30,-30,30
MLLVV1226_ODLE,Z,275.54,-2,2,-4,4,-6,6
MLLVV1227_ODLE,X,-145,,,,,,
MLLVV1227_ODLE,Y,-443.12,,,,,,
MLLVV1227_ODLE,Z,271.15,-2,2,-4,4,-6,6
MLFAV1004_ODCA,X,-58.32,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1004_ODCA,Y,-528.96,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1004_ODCA,Z,581.11,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1005_ODCA,X,41.54,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1005_ODCA,Y,-528.98,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1005_ODCA,Z,567.33,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1003_ODCA,X,-6.61,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1003_ODCA,Y,-626.26,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1003_ODCA,Z,587.21,-0.8,0.8,-1.6,1.6,-2.4,2.4
MLFAV1201_ODCA,X,-5.59,-1.1,1.1,-2.2,2.2,-3.3,3.3
MLFAV1201_ODCA,Y,-561.66,-1.1,1.1,-2.2,2.2,-3.3,3.3
MLFAV1201_ODCA,Z,594.68,-1.1,1.1,-2.2,2.2,-3.3,3.3
MLESB1201_HDLE,X,462,-1.5,1.5,-3,3,-4.5,4.5
MLESB1201_HDLE,Y,-664,-1.5,1.5,-3,3,,
MLESB1201_HDLE,Z,568.75,-1.5,1.5,-3,3,-4.5,4.5
MLESB1202_HDLE,X,462,-1.5,1.5,-3,3,-4.5,4.5
MLESB1202_HDLE,Y,-664,-1.5,1.5,-3,3,,
MLESB1202_HDLE,Z,496,-1.5,1.5,-3,3,-4.5,4.5
MRRVM1201_VDLE,X,-253.25,-2,2,-4,4,-6,6
MRRVM1201_VDLE,Y,605,-2,2,-4,4,-6,6
MRRVM1201_VDLE,Z,441,-2,2,-4,4,-6,6
MLESB1001_HDCA,X,462,-1.5,1.5,-3,3,-4.5,4.5
MLESB1001_HDCA,Y,-683,-1.5,1.5,-3,3,-4.5,4.5
MLESB1001_HDCA,Z,584,-1.5,1.5,-3,3,-4.5,4.5
MLESB1002_HDDG,X,462,-1.5,1.5,-3,3,-4.5,4.5
MLESB1002_HDDG,Y,-683,-1.5,1.5,-3,3,-4.5,4.5
MLESB1002_HDDG,Z,491,-1.5,1.5,-3,3,-4.5,4.5
MLHOT0006_VFAA,X,2580.55,-0.91,0.91,-1.82,1.82,-2.72,2.72
MLHOT0006_VFAA,Y,-400,,,,,,
MLHOT0006_VFAA,Z,668.43,-0.42,0.42,-0.84,0.84,-1.27,1.27
MLLVV1260_UWBA,X,-618,,,,,,
MLLVV1260_UWBA,Y,-451,,,,,,
MLLVV1260_UWBA,Z,167.5,-1,1,-2,2,-3,3
MLLVV1261_RVBA,X,-618,,,,,,
MLLVV1261_RVBA,Y,-439,-0.5,0.5,-1,1,-1.5,1.5
MLLVV1261_RVBA,Z,179.5,,,,,,
MLLVV1262_OWAA,X,-618,,,,,,
MLLVV1262_OWAA,Y,-454,,,,,,
MLLVV1262_OWAA,Z,267.88,-0.98,0.98,-1.96,1.96,-2.93,2.93
MLLVV1401RRVAA,X,-618,,,,,,
MLLVV1401RRVAA,Y,-439,-0.5,0.5,-1,1,-2.5,1.5
MLLVV1401RRVAA,Z,255.4,,,,,,
MLSWA1205_RVAA,X,340.44,,,,,,
MLSWA1205_RVAA,Y,-742.79,-0.5,1,-1,2,-2.99,2.99
MLSWA1205_RVAA,Z,-51.01,,,,,,
MLTRM1201_LDCA,X,2335,-1.5,1.5,-3,3,-4.5,4.5
MLTRM1201_LDCA,Y,-145,-1.5,1.5,-3,3,-4.5,4.5
MLTRM1201_LDCA,Z,286,-1.5,1.5,-3,3,-4.5,4.5
MLVTC0011_RVAA,X,2719,,,,,,
MLVTC0011_RVAA,Y,-676.92,-1,0.5,-2,1,-3,1.5
MLVTC0011_RVAA,Z,708,,,,,,
MRESB1001_HDCA,X,462,-1.5,1.5,-3,3,-4.5,4.5
MRESB1001_HDCA,Y,683,-1.5,1.5,-3,3,-4.5,4.5
MRESB1001_HDCA,Z,584,-1.5,1.5,-3,3,-4.5,4.5
MRESB1002_HDDG,X,462,-1.5,1.5,-3,3,-4.5,4.5
MRESB1002_HDDG,Y,683,-1.5,1.5,-3,3,-4.5,4.5
MRESB1002_HDDG,Z,491,-1.5,1.5,-3,3,-4.5,4.5
MRHOT0006_VFAA,X,2580.55,-0.91,0.91,-1.82,1.82,-2.72,2.72
MRHOT0006_VFAA,Y,400,,,,,,
MRHOT0006_VFAA,Z,668.43,-0.42,0.42,-0.84,0.84,-1.27,1.27
MRLVV1263_UWBA,X,-618,,,,,,
MRLVV1263_UWBA,Y,455,,,,,,
MRLVV1263_UWBA,Z,167.5,-1,1,-2,2,-3,3
MRLVV1264_OWAA,X,-618,,,,,,
MRLVV1264_OWAA,Y,460.01,,,,,,
MRLVV1264_OWAA,Z,269.15,-0.98,0.98,-1.96,1.96,-2.93,2.93
MRLVV1266_LVBA,X,-618,,,,,,
MRLVV1266_LVBA,Y,443,-0.5,0.5,-1,1,-1.5,1.5
MRLVV1266_LVBA,Z,179.5,,,,,,
MRLVV1402RLVAA,X,-618,,,,,,
MRLVV1402RLVAA,Y,443,-0.5,0.5,-1,1,-1.5,1.5
MRLVV1402RLVAA,Z,256.25,,,,,,
MRSWA1205_LVAA,X,340.44,,,,,,
MRSWA1205_LVAA,Y,742.79,-1,0.5,-2,1,-2.99,2.99
MRSWA1205_LVAA,Z,-51.01,,,,,,
MRLDL1202_ODLE,X,-368,-2,2,-4,4,-6,6
MRLDL1202_ODLE,Y,485,-2,2,-4,4,-26,26
MRLDL1202_ODLE,Z,320,-2,2,-4,4,-6,6
MRLDL1203_ODLE,X,-228,-5,5,-10,10,-10,10
MRLDL1203_ODLE,Y,485,-15,15,-30,30,-30,30
MRLDL1203_ODLE,Z,320,-2,2,-4,4,-6,6
MRFAV1004_ODCA,X,-58.32,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1004_ODCA,Y,528.96,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1004_ODCA,Z,581.11,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1005_ODCA,X,41.54,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1005_ODCA,Y,528.98,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1005_ODCA,Z,567.33,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1201_ODCA,X,-5.59,-1.1,1.1,-2.2,2.2,-3.3,3.3
MRFAV1201_ODCA,Y,561.66,-1.1,1.1,-2.2,2.2,-3.3,3.3
MRFAV1201_ODCA,Z,594.68,-1.1,1.1,-2.2,2.2,-3.3,3.3
MRFAV1003_ODCA,X,-6.61,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1003_ODCA,Y,626.26,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRFAV1003_ODCA,Z,587.21,-0.8,0.8,-1.6,1.6,-2.4,2.4
MRESB1201_HDLE,X,462,-1.5,1.5,-3,3,-4.5,4.5
MRESB1201_HDLE,Y,664,-1.5,1.5,-3,3,-4.5,4.5
MRESB1201_HDLE,Z,568.75,-1.5,1.5,-3,3,-4.5,4.5
MRESB1202_HDLE,X,462,-1.5,1.5,-3,3,-4.5,4.5
MRESB1202_HDLE,Y,664,-1.5,1.5,-3,3,-4.5,4.5
MRESB1202_HDLE,Z,496,-1.5,1.5,-3,3,-4.5,4.5
MLRWA0004_VDLE,X,3450,-1,1,-2,2,-3,3
MLRWA0004_VDLE,Y,-457,-1,1,-2,2,-3,3
MLRWA0004_VDLE,Z,94.5,-1,1,-2,2,-3,3
MLRWA0003_VDLE,X,3450,-1,1,-2,2,-3,3
MLRWA0003_VDLE,Y,-536,-1,1,-2,2,-3,3
MLRWA0003_VDLE,Z,229,-1,1,-2,2,-3,3
MLQHJ0001_RDCA,X,2638.43,-1,1,-2,2,-3,3
MLQHJ0001_RDCA,Y,-350,-0.5,1,-1,2,-1.5,3
MLQHJ0001_RDCA,Z,780.8,-1,1,-2,2,-3,3
MLHOT0002_ODDG,X,3065,-1,1,-2,2,-3,3
MLHOT0002_ODDG,Y,-295,-1,1,-2,2,-3,3
MLHOT0002_ODDG,Z,763.55,-1,1,-2,2,-3.2,3
MLBLV1201_RDCA,X,2511.07,-1,1,-2,2,-3,3
MLBLV1201_RDCA,Y,-529.6,-0.5,1,-1,2,-1.5,3
MLBLV1201_RDCA,Z,642.65,-1,1,-2,2,-3,3
MLBLV1204RHCCA,X,2521.03,,,,,,
MLBLV1204RHCCA,Y,-548.6,-1,1,-2,2,-3,3
MLBLV1204RHCCA,Z,637.97,-1,1,-2,2,-3,3
MLBLM1201_LBLD,X,2335,-1.5,1.5,-3,3,-4.5,4.5
MLBLM1201_LBLD,Y,-551.7,,,,,,
MLBLM1201_LBLD,Z,286,-1.5,1.5,-3,3,-4.5,4.5
MRRWA0004_VDLE,X,3450,-1,1,-2,2,-3,3
MRRWA0004_VDLE,Y,457,-1,1,-2,2,-3,3
MRRWA0004_VDLE,Z,94.5,-1,1,-2,2,-3,3
MRRHS1201_VHBA,X,2207.04,-0.9,0.9,-1.8,1.8,-3.5,3.5
MRRHS1201_VHBA,Y,736.1,,,,,,
MRRHS1201_VHBA,Z,-1.43,,,,,,
MLRHS1201_VHBA,X,2207.04,-0.68,0.68,-0.9,0.9,-3.5,3.5
MLRHS1201_VHBA,Y,-736.1,,,,,,
MLRHS1201_VHBA,Z,-1.43,,,,,,
MLRHS1202_RVBA,X,2187.93,,,,,,
MLRHS1202_RVBA,Y,-742.55,-0.5,1,-1,2,-1.5,3
MLRHS1202_RVBA,Z,-8.64,,,,,,
MLRWH0033_OFBA,X,3155.79,,,,,,
MLRWH0033_OFBA,Y,-520.5,,,,,,
MLRWH0033_OFBA,Z,797.08,-0.91,0.91,-1.82,1.82,-4,3.5
MRRWH0033_OFBA,X,3155.79,-0.37,0.37,-0.74,0.74,-1.11,1.11
MRRWH0033_OFBA,Y,520.5,,,,,,
MRRWH0033_OFBA,Z,797.08,-0.91,0.91,-1.82,1.82,-5,5
MLRWH0032_HEBA,X,3163.41,-0.95,0.95,-1.9,1.9,-2.84,2.84
MLRWH0032_HEBA,Y,-522.28,-0.3,0.3,-0.6,0.6,-0.91,0.91
MLRWH0032_HEBA,Z,786.49,,,,,,
MRRWH0032_HEBA,X,3163.41,-0.95,0.95,-1.9,1.9,-2.84,2.84
MRRWH0032_HEBA,Y,522.28,-0.3,0.3,-0.6,0.6,-0.91,0.91
MRRWH0032_HEBA,Z,786.49,,,,,,
MRRHS1202_LVBA,X,2187.93,,,,,,
MRRHS1202_LVBA,Y,742.55,-1,0.5,-2,1,-3,1.5
MRRHS1202_LVBA,Z,-8.64,,,,,,
diaoer1,Y,1328,-0.75,0.75,-1,1,-3,3
diaoer2,Y,1328.38,-1.5,1.5,-3,3,-4.5,4.5
854_NTA_BS_001,X,594,-1,1,-2,2,-3,3
854_NTA_BS_001,Y,-661,-1,1,-2,2,-3,3
854_NTA_BS_001,Z,-49.4,-1,1,-2,2,-3,3
MLQFO1250_VDLD,X,384,-1,1,-2,2,-3,3
MLQFO1250_VDLD,Y,-535,-1,1,-2,2,-3,3
MLQFO1250_VDLD,Z,5,-1,1,-2,2,-3,3
839_NTA_BR_001,X,928,-1,1,-2,2,-3,3
839_NTA_BR_001,Y,-465.5,-1,1,-2,2,-3,3
839_NTA_BR_001,Z,-49.5,-1,1,-2,2,-3,3
785_NTA_BR_001,X,252.62,-1,1,-2,2,-3,3
785_NTA_BR_001,Y,-415,-1,1,-2,2,-3,3
785_NTA_BR_001,Z,529.98,-1,1,-2,2,-3,3
762_NTA_BR_001,X,-270.57,-1,1,-2,2,-3,3
762_NTA_BR_001,Y,-571.33,-1,1,-2,2,-3,3
762_NTA_BR_001,Z,403.48,-1,1,-2,2,-3,3
773_NTA_BR_001,X,165,-1,1,-2,2,-3,3
773_NTA_BR_001,Y,-86,-1,1,-2,2,-3,3
773_NTA_BR_001,Z,316,-1,1,-2,2,-3,3
778_NTA_BR_001,X,31.84,-1,1,-2,2,-3,3
778_NTA_BR_001,Y,-370.72,-1,1,-2,2,-3,3
778_NTA_BR_001,Z,533.89,-1,1,-2,2,-3,3
751_NTA_BR_003,X,-452,-1,1,-2,2,-3,3
751_NTA_BR_003,Y,-519.8,-1,1,-2,2,-3,3
751_NTA_BR_003,Z,133,-1,1,-2,2,-3,3
751_NTA_BR_001,X,-568,-1,1,-2,2,-3,3
751_NTA_BR_001,Y,-519.81,-1,1,-2,2,-3,3
751_NTA_BR_001,Z,279.5,-1,1,-2,2,-3,3
767_NTA_BR_001,X,-113.51,-1,1,-2,2,-3,3
767_NTA_BR_001,Y,517.38,-1,1,-2,2,-3,3
767_NTA_BR_001,Z,430.1,-1,1,-2,2,-3,3
759_NTA_BR_001,X,-33.8,-1,1,-2,2,-3,3
759_NTA_BR_001,Y,414.2,-1,1,-2,2,-3,3
759_NTA_BR_001,Z,218.7,-1,1,-2,2,-3,3
774_NTA_BR_001,X,165,-1,1,-2,2,-3,3
774_NTA_BR_001,Y,218,-1,1,-2,2,-3,3
774_NTA_BR_001,Z,383,-1,1,-2,2,-3,3
766_NTA_BR_001,X,-289.32,-1,1,-2,2,-3,3
766_NTA_BR_001,Y,646,-1,1,-2,2,-3,3
766_NTA_BR_001,Z,451.89,-1,1,-2,2,-3,3
761_NTA_BR_001,X,-566,-1,1,-2,2,-3,3
761_NTA_BR_001,Y,519.8,-1,1,-2,2,-3,3
761_NTA_BR_001,Z,277,-1,1,-2,2,-3,3
851_NTA_BS_002,X,-26.2,-1,1,-2,2,-3,3
851_NTA_BS_002,Y,509.9,-1,1,-2,2,-3,3
851_NTA_BS_002,Z,573.17,-1,1,-2,2,-3,3
840_NTA_BR_001,X,928,-1,1,-2,2,-3,3
840_NTA_BR_001,Y,465.5,-1,1,-2,2,-3,3
840_NTA_BR_001,Z,-49.5,-1,1,-2,2,-3,3
790_NTA_BR_001,X,475,-1,1,-2,2,-3,3
790_NTA_BR_001,Y,729.42,-1,1,-2,2,-3,3
790_NTA_BR_001,Z,140.09,-1,1,-2,2,-3,3
810_NTA_BR_003,X,1046,-1,1,-2,2,-3,3
810_NTA_BR_003,Y,650,-1,1,-2,2,-3,3
810_NTA_BR_003,Z,-57,-1,1,-2,2,-3,3
856_NTA_BS_003,X,2246.79,-1,1,-2,2,-3,3
856_NTA_BS_003,Y,-559.1,-1,1,-2,2,-3,3
856_NTA_BS_003,Z,128.53,-1,1,-2,2,-3,3
853_NTA_BS_005,X,2231.35,-1,1,-2,2,-3,3
853_NTA_BS_005,Y,-670.79,-1,1,-2,2,-3,3
853_NTA_BS_005,Z,253.61,-1,1,-2,2,-3,3
855_NTA_BS_001,X,2527,-1,1,-2,2,-3,3
855_NTA_BS_001,Y,-396,-1,1,-2,2,-3,3
855_NTA_BS_001,Z,189.3,-1,1,-2,2,-3,3
856_NTA_BS_004,X,2246.8,-1,1,-2,2,-3,3
856_NTA_BS_004,Y,559.1,-1,1,-2,2,-3,3
856_NTA_BS_004,Z,128.5,-1,1,-2,2,-3,3
853_NTA_BS_006,X,2231.34,-1,1,-2,2,-3,3
853_NTA_BS_006,Y,671.01,-1,1,-2,2,-3,3
853_NTA_BS_006,Z,253.69,-1,1,-2,2,-3,3
855_NTA_BS_002,X,2527,-1,1,-2,2,-3,3
855_NTA_BS_002,Y,396,-1,1,-2,2,-3,3
855_NTA_BS_002,Z,189.3,-1,1,-2,2,-3,3
MRQFO1261_UDLD,X,307,-1,1,-2,2,-3,3
MRQFO1261_UDLD,Y,49.5,-1,1,-2,2,-3,3
MRQFO1261_UDLD,Z,146.15,-1,1,-2,2,-3,3
MLQFO1262_UDLD,X,307,-1,1,-2,2,-3,3
MLQFO1262_UDLD,Y,-19.5,-1,1,-2,2,-3,3
MLQFO1262_UDLD,Z,146.15,-1,1,-2,2,-3,3
MRRWA0003_VDLE,X,3450,-1,1,-2,2,-3,3
MRRWA0003_VDLE,Y,536,-1,1,-2,2,-3,3
MRRWA0003_VDLE,Z,229,-1,1,-2,2,-3,3
MRQHJ0001_LDCA,X,2638.43,-1,1,-2,2,-3,3
MRQHJ0001_LDCA,Y,350,-1,0.5,-2,1,-4,1.5
MRQHJ0001_LDCA,Z,780.8,-1,1,-2,2,-3,3
MRHOT0001_ODCA,X,3065,-1,1,-2,2,-3,3
MRHOT0001_ODCA,Y,295,-1,1,-2,2,-3,3
MRHOT0001_ODCA,Z,763.55,-1,1,-2,2,-3.2,3
MRBLV1201_LDCA,X,2511.07,-1,1,-2,2,-3,3
MRBLV1201_LDCA,Y,529.6,-0.75,0.38,-1,0.5,-3,1.5
MRBLV1201_LDCA,Z,642.65,-1,1,-2,2,-3,3
MRBLV1204RHCCA,X,2521.03,,,,,,
MRBLV1204RHCCA,Y,548.6,-1,1,-2,2,-3.4,3.6
MRBLV1204RHCCA,Z,637.97,-1,1,-2,2,-3,3
MRBLM1201_RBLD,X,2335,-1.5,1.5,-3,3,-4.5,4.5
MRBLM1201_RBLD,Y,551.7,,,,,,
MRBLM1201_RBLD,Z,286,-1.5,1.5,-3,3,-4.5,4.5
MLTRM1202_RDCA,X,2335,-1.5,1.5,-3,3,-4.5,4.5
MLTRM1202_RDCA,Y,-125.01,-1.5,1.5,-3,3,-4.5,4.5
MLTRM1202_RDCA,Z,286,-1.5,1.5,-3,3,-4.5,4.5
MLLVI1001_UDLE,X,-13,-1.8,1.8,-3.6,3.6,-5.4,5.4
MLLVI1001_UDLE,Y,-437,-1.8,1.8,-3.6,3.6,-5.4,5.4
MLLVI1001_UDLE,Z,105.5,-1.8,1.8,-3.6,3.6,-5.4,5.4
MLRVL1001_RDCA,X,-314.5,-1,1,-2,2,-3,3
MLRVL1001_RDCA,Y,-682.63,-0.5,1,-1,2,-2,3
MLRVL1001_RDCA,Z,489,-1,1,-2,2,-3,3
MLSWA1220_RVAA,X,316.6,,,,,,
MLSWA1220_RVAA,Y,-703.74,-0.5,1,-1,2,-1.5,3
MLSWA1220_RVAA,Z,582.17,,,,,,
MLSWA1001_RDCA,X,366.92,-1,1,-2,2,-3,3
MLSWA1001_RDCA,Y,-702.18,-1,1,-2,2,-3,3
MLSWA1001_RDCA,Z,514.29,-1,1,-2,2,-3,3
MLSWA1201_RGAA,X,551.37,,,,,,
MLSWA1201_RGAA,Y,-685.79,-0.48,0.95,-0.96,1.9,-1.43,2.86
MLSWA1201_RGAA,Z,732.29,,,0,0,,
MLSWA1002_RDDG,X,470,-1,1,-2,2,-3,3
MLSWA1002_RDDG,Y,-738.62,-1,1,-2,2,-3,3
MLSWA1002_RDDG,Z,38,-1,1,-2,2,-3,3
MLBSI1201_RVBA,X,627,,,,,,
MLBSI1201_RVBA,Y,-742.15,-0.5,1,-1,2,-1.5,3
MLBSI1201_RVBA,Z,-62.55,,,,,,
MLSWA1238_RVAA,X,523.79,,,,,,
MLSWA1238_RVAA,Y,-732.08,-0.5,1,-1,2,-1.5,3
MLSWA1238_RVAA,Z,115.44,,,,,,
MLBSI1203_RVBA,X,958,,,,,,
MLBSI1203_RVBA,Y,-742.15,-0.5,1,-1,2,-1.5,3
MLBSI1203_RVBA,Z,-61.77,,,,,,
MLBSI1207_RVBA,X,619,,,,,,
MLBSI1207_RVBA,Y,-732,-0.5,1,-1,2,-1.5,3
MLBSI1207_RVBA,Z,85.56,,,,,,
MLBTT1203_LDLE,X,578,-1,1,-2,2,-3,3
MLBTT1203_LDLE,Y,-94.04,-1,1,-2,2,-3,3
MLBTT1203_LDLE,Z,110.5,-1,1,-2,2,-3,3
MLWKU1201_HDEG,X,284.5,-1,1,-2,2,-3,3
MLWKU1201_HDEG,Y,-355,-1,1,-2,2,-3,3
MLWKU1201_HDEG,Z,558,-1,1,-2,2,-3,3
MLWLQ0002_HDCA,X,376,-1,1,-2,2,-3,3
MLWLQ0002_HDCA,Y,-667,-1,1,-2,2,-3,3
MLWLQ0002_HDCA,Z,664,-1,1,-2,2,-3,3
MLWLQ0022_OFBA,X,307.47,-0.53,0.53,-1.06,1.06,-1.59,1.59
MLWLQ0022_OFBA,Y,-578.97,,,,,,
MLWLQ0022_OFBA,Z,685.69,-0.83,0.83,-1.66,1.66,-2.49,2.49
